ip.len,ip.flags.df,ip.flags.mf,tcp.port,tcp.window_size,tcp.ack_raw,ip.fragment,ip.fragment.count,ip.fragments,ip.ttl,ip.proto,tcp.window_size.1,tcp.ack,tcp.seq,tcp.len,tcp.stream,tcp.urgent_pointer,tcp.flags,tcp.analysis.ack_rtt,tcp.segments,tcp.reassembled.length,http.request,udp.port,udp.length,frame.time_relative,frame.time_delta,tcp.time_relative,tcp.time_delta,gtp.ext_hdr,gtp.ext_hdr.length,gtp.ext_hdr.pdu_ses_con.pdu_type,gtp.ext_hdr.pdu_ses_con.qos_flow_id,gtp.ext_hdr.pdu_ses_cont.ppp,gtp.ext_hdr.pdu_ses_cont.rqi,gtp.flags,gtp.flags.e,gtp.flags.payload,gtp.flags.pn,gtp.flags.reserved,gtp.flags.s,gtp.flags.version,gtp.length,gtp.message,gtp.teid,label
128,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,108,737.488734,0.015085,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,92,255,1,0
104,1,0,80.0,0.0,653692610.0,0.0,0.0,0.0,64,17,28960.0,1.0,0.0,0.0,331.0,0.0,18,0.143922,0.0,0.0,0.0,2152,84,554.530437,0.143922,0.143922,0.143922,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,68,255,1,0
84,1,0,59074.0,0.0,2107189463.0,0.0,0.0,0.0,64,17,64128.0,225.0,73.0,0.0,735.0,0.0,16,0.001432,0.0,0.0,0.0,2152,64,1240.904465,0.001432,0.139718,0.001432,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,48,255,138,0
96,1,0,80.0,0.0,3022556771.0,0.0,0.0,0.0,64,17,65536.0,76.0,529.0,0.0,221.0,0.0,17,0.017114,0.0,0.0,0.0,2152,76,380.931653,0.017114,0.077789,0.017114,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,60,255,1,0
267,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,247,1190.65685,0.01328,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,231,255,1,0
96,1,0,34332.0,0.0,1417945454.0,0.0,0.0,0.0,64,17,64256.0,1.0,1.0,0.0,614.0,0.0,16,0.001782,0.0,0.0,0.0,2152,76,1032.935405,0.001782,0.015587,0.001782,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,60,255,142,0
28,0,0,0,0,0,0,0,0,63,17,0,0,0,0,0,0,0,0,0,0,0,2488,8,0.044534,1.3e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,161,1261.258619,0.00014,0.0,0.0,1,1,0,1,0.0,0.0,52,1,1,0,0,0,1,145,255,1,0
100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,64,17,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2152,80,859.722068,0.000146,0.0,0.0,1,1,1,1,0.0,0.0,52,1,1,0,0,0,1,64,255,142,0
56,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,1100,8,0.00026,2.5e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
